RENT_NM,RENT_TYPE,STATION_NO,STATION_NAME,GENDER_CD,AGE_TYPE,USE_CNT,EXER_AMT,CARBON_AMT,MOVE_METER,MOVE_TIME,START_INDEX,END_INDEX,RNUM
202308,정기권,04929,4929. 파스쿠찌 청담사거리점 앞,F,20대,22,1650.10,17.42,75039.96,582,0,0,21777
202308,정기권,04951,4951. 강동농협 버스정류소 앞(광채빌라),F,20대,80,3008.59,30.91,133391.97,1148,0,0,21666
202308,정기권,04952,4952.천호시장 버스정류소 옆,F,20대,40,1929.75,19.16,82600.27,775,0,0,21733
202308,정기권,04953,4953. 세양청마루아파트 앞,F,20대,163,5687.78,56.83,248881.44,2637,0,0,21770
202308,정기권,05052,5052. 마곡역 7번출구,F,20대,513,13499.11,133.78,579956.87,4815,0,0,21385
202308,정기권,05053,5053. 신마곡벽산블루밍메트로오피스텔앞,F,20대,40,2967.12,29.57,127395.70,977,0,0,21397
202308,정기권,05055,5055. 마곡역5번출구앞,F,20대,174,4634.08,46.78,205286.21,1851,0,0,21398
202308,정기권,05056,"5056. 마곡역4,5번출구",F,20대,122,4639.12,44.86,193481.08,1544,0,0,21399
202308,정기권,05057,5057. 마곡역4번출구,F,20대,140,4639.22,45.12,194280.88,1831,0,0,21400
202308,정기권,05059,5059. 화곡2동주민센터,F,20대,58,2115.60,20.53,88402.87,1209,0,0,21401
202308,정기권,05061,5061. 우장산동 가곡어린이공원앞,F,20대,153,5895.70,53.80,231705.80,2124,0,0,21402
202308,정기권,05062,5062. 마곡 MICE 복합단지,F,20대,234,5205.91,51.76,224514.08,2123,0,0,21403
202308,정기권,05063,5063. 서남환경공원(방화동도시개발2단지방향),F,20대,94,3815.60,39.44,169975.00,1572,0,0,21405
202308,정기권,05064,5064. 양천향교역8번출구,F,20대,230,9765.61,93.54,404776.40,2888,0,0,21460
202308,정기권,05065,5065. 허준박물관삼거리,F,20대,60,3950.73,36.63,158039.66,1298,0,0,21461
202308,정기권,05066,5066. 아망떼마곡전시장,F,20대,241,6391.13,63.45,274471.76,2956,0,0,21462
202308,정기권,05067,5067. 주원 리젠트 앞,F,20대,35,2178.87,20.77,89507.88,639,0,0,21463
202308,정기권,05070,5070. 마곡13단지힐스테이트마스터 후문(1320동 앞),F,20대,258,6550.90,61.88,269058.98,2317,0,0,21481
202308,정기권,05072,5072. 김포공항입구 교통섬,F,20대,25,1205.50,11.53,49610.13,495,0,0,21464
202308,정기권,05073,5073. 우장산역 헤링턴타워 앞,F,20대,167,8478.70,85.12,367373.51,3019,0,0,21508
202308,정기권,05074,"5074. 마곡엠밸리14단지 버스정류장(마곡엠밸리11,12단지상가방면)",F,20대,323,9558.89,93.10,401794.91,3527,0,0,21509
202308,정기권,05075,5075. 등촌역 1번출구,F,20대,197,8431.10,82.35,354866.01,2908,0,0,21510
202308,정기권,05076,5076. 메이필드호텔앞,F,20대,71,2631.54,24.93,107398.70,855,0,0,21543
